productCode,productName,productLine,quantityInStock,buyPrice,MSRP,quantite_vendue,niveau_stock
S24_2000,1960 BSA Gold Star DBD34,Motorcycles,15,37.32,76.17,1015.0,Normal
S12_1099,1968 Ford Mustang,Classic Cars,68,95.34,194.57,909.0,Élevé
S32_4289,1928 Ford Phaeton Deluxe,Vintage Cars,136,33.02,68.79,846.0,Élevé
S32_1374,1997 BMW F650 ST,Motorcycles,178,66.92,99.89,920.0,Élevé
S72_3212,Pont Yacht,Ships,414,33.3,54.6,850.0,Élevé
S18_2248,1911 Ford Town Car,Vintage Cars,540,33.3,60.54,790.0,Élevé
S18_2795,1928 Mercedes-Benz SSK,Vintage Cars,548,72.56,168.75,880.0,Élevé
S700_3167,F/A 18 Hornet 1/72,Planes,551,54.4,80.0,904.0,Élevé
S50_4713,2002 Yamaha YZR M1,Motorcycles,600,34.17,81.36,992.0,Élevé
S700_1938,The Mayflower,Ships,737,43.3,86.61,791.0,Élevé
S32_3522,1996 Peterbilt 379 Stake Bed with Outrigger,Trucks and Buses,814,33.61,64.64,988.0,Élevé
S18_2581,P-51-D Mustang,Planes,992,49.0,84.48,851.0,Élevé
S24_1046,1970 Chevy Chevelle SS 454,Classic Cars,1005,49.24,73.49,777.0,Élevé
S50_1392,Diamond T620 Semi-Skirted Tanker,Trucks and Buses,1016,68.29,115.75,979.0,Élevé
S12_3891,1969 Ford Falcon,Classic Cars,1049,83.05,173.02,921.0,Élevé
S18_4721,1957 Corvette Convertible,Classic Cars,1249,69.93,148.8,1013.0,Élevé
S24_2887,1952 Citroen-15CV,Classic Cars,1452,72.82,117.44,814.0,Élevé
S12_1666,1958 Setra Bus,Trucks and Buses,1579,77.9,136.67,972.0,Élevé
S50_1514,1962 City of Detroit Streetcar,Trains,1645,37.49,58.58,945.0,Élevé
S700_1138,The Schooner Bluenose,Ships,1897,34.0,66.67,818.0,Élevé
S24_2011,18th century schooner,Ships,1898,82.34,122.89,887.0,Élevé
S18_3278,1969 Dodge Super Bee,Classic Cars,1917,49.05,80.41,974.0,Élevé
S700_3505,The Titanic,Ships,1956,51.09,100.17,870.0,Élevé
S18_2432,1926 Ford Fire Engine,Trucks and Buses,2018,24.92,60.77,964.0,Élevé
S24_3969,1936 Mercedes Benz 500k Roadster,Vintage Cars,2081,21.75,41.03,824.0,Élevé
S24_2300,1962 Volkswagen Microbus,Trucks and Buses,2327,61.34,127.79,987.0,Élevé
S24_2766,1949 Jaguar XK 120,Classic Cars,2350,47.25,90.87,873.0,Élevé
S18_3856,1941 Chevrolet Special Deluxe Cabriolet,Vintage Cars,2378,64.58,105.87,1008.0,Élevé
S24_2840,1958 Chevy Corvette Limited Edition,Classic Cars,2542,15.91,35.36,983.0,Élevé
S18_1097,1940 Ford Pickup Truck,Trucks and Buses,2613,58.33,116.67,999.0,Élevé
S18_1749,1917 Grand Touring Sedan,Vintage Cars,2724,86.7,170.0,842.0,Élevé
S24_4278,1900s Vintage Tri-Plane,Planes,2756,36.23,72.45,930.0,Élevé
S24_2022,1938 Cadillac V-16 Presidential Limousine,Vintage Cars,2847,20.61,44.8,955.0,Élevé
S32_2509,1954 Greyhound Scenicruiser,Trucks and Buses,2874,25.98,54.11,955.0,Élevé
S24_3420,1937 Horch 930V Limousine,Vintage Cars,2902,26.3,65.75,806.0,Élevé
S18_4600,1940s Ford truck,Trucks and Buses,3128,84.76,121.08,1012.0,Élevé
S18_4933,1957 Ford Thunderbird,Classic Cars,3209,34.21,71.27,701.0,Élevé
S10_4757,1972 Alfa Romeo GTA,Classic Cars,3252,85.68,136.0,917.0,Élevé
S32_4485,1974 Ducati 350 Mk3 Desmo,Motorcycles,3341,56.13,102.05,898.0,Élevé
S700_2047,HMS Bounty,Ships,3501,39.83,90.52,824.0,Élevé
S12_1108,2001 Ferrari Enzo,Classic Cars,3619,95.59,207.8,973.0,Élevé
S24_1785,1928 British Royal Navy Airplane,Planes,3627,66.74,109.42,853.0,Élevé
S18_3140,1903 Ford Model A,Vintage Cars,3913,68.3,136.59,778.0,Élevé
S18_1129,1993 Mazda RX-7,Classic Cars,3975,83.51,141.54,921.0,Élevé
S24_1444,1970 Dodge Coronet,Classic Cars,4074,32.37,57.8,976.0,Élevé
S18_2949,1913 Ford Model T Speedster,Vintage Cars,4189,60.78,101.31,1038.0,Élevé
S18_3029,1999 Yamaha Speed Boat,Ships,4259,51.61,86.02,823.0,Élevé
S18_2625,1936 Harley Davidson El Knucklehead,Motorcycles,4357,24.23,60.57,945.0,Élevé
S24_3191,1969 Chevrolet Camaro Z28,Classic Cars,4695,50.51,85.61,857.0,Élevé
S24_4258,1936 Chrysler Airflow,Vintage Cars,4710,57.46,97.39,983.0,Élevé
S18_2238,1998 Chrysler Plymouth Prowler,Classic Cars,4724,101.51,163.73,986.0,Élevé
S72_1253,Boeing X-32A JSF,Planes,4857,32.77,49.66,899.0,Élevé
S700_3962,The Queen Mary,Ships,5088,53.63,99.31,793.0,Élevé
S32_1268,1980’s GM Manhattan Express,Trucks and Buses,5099,53.93,96.31,911.0,Élevé
S18_1662,1980s Black Hawk Helicopter,Planes,5330,77.27,157.69,948.0,Élevé
S18_4027,1970 Triumph Spitfire,Classic Cars,5545,91.92,143.62,922.0,Élevé
S10_4698,2003 Harley-Davidson Eagle Drag Bike,Motorcycles,5582,91.02,193.66,985.0,Élevé
S18_2957,1934 Ford V8 Coupe,Vintage Cars,5649,34.35,62.46,985.0,Élevé
S12_3990,1970 Plymouth Hemi Cuda,Classic Cars,5663,31.92,79.8,875.0,Élevé
S700_1691,American Airlines: B767-300,Planes,5841,51.15,91.34,820.0,Élevé
S24_2841,1900s Vintage Bi-Plane,Planes,5942,34.25,68.51,895.0,Élevé
S18_3136,18th Century Vintage Horse Carriage,Vintage Cars,5992,60.74,104.72,907.0,Élevé
S12_4473,1957 Chevy Pickup,Trucks and Buses,6125,55.7,118.5,1056.0,Élevé
S18_3259,Collectable Wooden Train,Trains,6450,67.56,100.84,799.0,Élevé
S18_4409,1932 Alfa Romeo 8C2300 Spider Sport,Vintage Cars,6553,43.26,92.03,860.0,Élevé
S24_4048,1992 Porsche Cayenne Turbo Silver,Classic Cars,6582,69.78,118.28,844.0,Élevé
S24_3856,1956 Porsche 356A Coupe,Classic Cars,6600,98.3,140.43,1013.0,Élevé
S24_3816,1940 Ford Delivery Sedan,Vintage Cars,6621,48.64,83.86,771.0,Élevé
S10_2016,1996 Moto Guzzi 1100i,Motorcycles,6625,68.99,118.94,999.0,Élevé
S18_4668,1939 Cadillac Limousine,Vintage Cars,6645,23.14,50.31,995.0,Élevé
S10_4962,1962 LanciaA Delta 16V,Classic Cars,6791,103.42,147.74,906.0,Élevé
S24_3949,Corsair F4U ( Bird Cage),Planes,6812,29.34,68.24,939.0,Élevé
S24_2360,1982 Ducati 900 Monster,Motorcycles,6840,47.1,69.26,947.0,Élevé
S12_3148,1969 Corvair Monza,Classic Cars,6906,89.14,151.08,933.0,Élevé
S700_2824,1982 Camaro Z28,Classic Cars,6934,46.53,101.15,997.0,Élevé
S24_1578,1997 BMW R 1100 S,Motorcycles,7003,60.86,112.7,1033.0,Élevé
S50_1341,1930 Buick Marquette Phaeton,Vintage Cars,7062,27.06,43.64,935.0,Élevé
S700_2610,The USS Constitution Ship,Ships,7083,33.97,72.28,911.0,Élevé
S700_2834,ATA: B757-300,Planes,7106,59.33,118.65,927.0,Élevé
S10_1949,1952 Alpine Renault 1300,Classic Cars,7305,98.58,214.3,961.0,Élevé
S12_4675,1969 Dodge Charger,Classic Cars,7323,58.73,115.16,951.0,Élevé
S24_1937,1939 Chevrolet Deluxe Coupe,Vintage Cars,7332,22.57,33.19,937.0,Élevé
S18_3782,1957 Vespa GS150,Motorcycles,7689,32.95,62.17,959.0,Élevé
S24_2972,1982 Lamborghini Diablo,Classic Cars,7723,16.24,37.76,872.0,Élevé
S18_3233,1985 Toyota Supra,Classic Cars,7733,57.01,107.57,0.0,Élevé
S24_4620,1961 Chevrolet Impala,Classic Cars,7869,32.33,80.84,941.0,Élevé
S18_3320,1917 Maxwell Touring Car,Vintage Cars,7913,57.54,99.21,992.0,Élevé
S10_1678,1969 Harley Davidson Ultimate Chopper,Motorcycles,7933,48.81,95.7,1057.0,Élevé
S24_3371,1971 Alpine Renault 1600s,Classic Cars,7995,38.58,61.23,945.0,Élevé
S18_2870,1999 Indy 500 Monte Carlo SS,Classic Cars,8164,56.76,132.0,777.0,Élevé
S24_1628,1966 Shelby Cobra 427 S/C,Classic Cars,8197,29.18,50.31,851.0,Élevé
S18_2319,1964 Mercedes Tour Bus,Trucks and Buses,8258,74.86,122.73,1007.0,Élevé
S18_4522,1904 Buick Runabout,Vintage Cars,8290,52.66,87.77,892.0,Élevé
S18_3232,1992 Ferrari 360 Spider red,Classic Cars,8347,77.9,169.34,1748.0,Élevé
S32_3207,1950's Chicago Surface Lines Streetcar,Trains,8601,26.72,62.14,907.0,Élevé
S18_1367,1936 Mercedes-Benz 500K Special Roadster,Vintage Cars,8635,24.26,53.91,960.0,Élevé
S18_1342,1937 Lincoln Berline,Vintage Cars,8693,60.62,102.74,1111.0,Élevé
S700_4002,American Airlines: MD-11S,Planes,8820,36.27,74.03,1010.0,Élevé
S18_1889,1948 Porsche 356-A Roadster,Classic Cars,8826,53.9,77.0,949.0,Élevé
S18_3685,1948 Porsche Type 356 Roadster,Classic Cars,8990,62.16,141.28,917.0,Élevé
S18_1589,1965 Aston Martin DB5,Classic Cars,9042,65.96,124.44,831.0,Élevé
S12_3380,1968 Dodge Charger,Classic Cars,9123,75.16,117.44,903.0,Élevé
S18_3482,1976 Ford Gran Torino,Classic Cars,9127,73.49,146.99,915.0,Élevé
S24_3151,1912 Ford Model T Delivery Wagon,Vintage Cars,9173,46.91,88.51,881.0,Élevé
S32_2206,1982 Ducati 996 R,Motorcycles,9241,24.14,40.23,906.0,Élevé
S18_2325,1932 Model A Ford J-Coupe,Vintage Cars,9354,58.48,127.13,957.0,Élevé
S24_3432,2002 Chevy Corvette,Classic Cars,9446,62.11,107.08,851.0,Élevé
S700_2466,America West Airlines B757-200,Planes,9653,68.8,99.72,866.0,Élevé
S18_1984,1995 Honda Civic,Classic Cars,9772,93.89,142.25,884.0,Élevé
S12_2823,2002 Suzuki XREO,Motorcycles,9997,66.27,150.62,1028.0,Élevé
